cityID,city
2000000,Chongqing
2000001,Shanghai
2000002,Beijing
2000003,Karachi
2000004,Istanbul
2000005,Dhaka
2000006,Tokyo
2000007,Moscow
2000008,Guangzhou
2000009,Shenzhen
2000010,Mumbai
2000011,Sao Paulo
2000012,Kinshasa
2000013,Tianjin
2000014,Lahore
2000015,Delhi
2000016,Jakarta
2000017,Dongguan
2000018,Seoul
2000019,Foshan
2000020,Chengdu
2000021,Lima
2000022,Mexico City
2000023,Tehran
2000024,London
2000025,Bangalore
2000026,New York
2000027,Shenyang
2000028,Wuhan
2000029,Bogota
2000030,Ningbo
2000031,Cairo
2000032,Ho Chi Minh City
2000033,Hong Kong
2000034,Nanjing
2000035,Hanoi
2000036,Changsha
2000037,Hangzhou
2000038,Hyderabad
2000039,Baghdad
2000040,Chennai
2000041,Riyadh
2000042,Rio de Janeiro
2000043,Xian
2000044,Suzhou
2000045,Bangkok
2000046,Singapore
2000047,Ahmedabad
2000048,Santiago
2000049,Shantou
2000050,Saint Petersburg
2000051,Harbin
2000052,Dar es Salaam
2000053,Yangon
2000054,Johannesburg
2000055,Abidjan
2000056,Alexandria
2000057,Kolkata
2000058,Ankara
2000059,Surat
2000060,Giza
2000061,Zhengzhou
2000062,Los Angeles
2000063,New Taipei City
2000064,Cape Town
2000065,Yokohama
2000066,Berlin
2000067,Busan
2000068,Xiamen
2000069,Jeddah
2000070,Durban
2000071,Kabul
2000072,Casablanca
2000073,Hefei
2000074,Pyongyang
2000075,Madrid
2000076,Faisalabad
2000077,Ekurhuleni
2000078,Nairobi
2000079,Zhongshan
2000080,Pune
2000081,Addis Ababa
2000082,Jaipur
2000083,Buenos Aires
2000084,Wenzhou
2000085,Incheon
