countryID,country
3000000,China
3000001,Pakistan
3000002,Turkey
3000003,Bangladesh
3000004,Japan
3000005,Russian Federation
3000006,India
3000007,Brazil
3000008,Democratic Republic of Congo
3000009,Indonesia
3000010,South Korea
3000011,Peru
3000012,Mexico
3000013,Iran
3000014,United Kingdom
3000015,United States
3000016,Colombia
3000017,Egypt
3000018,Vietnam
3000019,Iraq
3000020,Saudi Arabia
3000021,Thailand
3000022,Singapore
3000023,Chile
3000024,Tanzania
3000025,Myanmar
3000026,South Africa
3000027,Ivory Coast
3000028,Taiwan
3000029,Germany
3000030,Afghanistan
3000031,Morocco
3000032,North Korea
3000033,Spain
3000034,Kenya
3000035,Ethiopia
3000036,Argentina
